hour,nodes,edges,replies,retweets,quotes,interactions,independent,neutral,positive,negative,ntweets,per_neutral,per_positive,per_negative,indeg_pos,indeg_neg,indeg_neu
2016-05-14_01,20871,28051,10,106,4,120,27,52,76,19,147,0.35374149659863946,0.5170068027210885,0.1292517006802721,7360.0,1985.0,2443.0
2016-05-14_02,20903,28144,0,109,0,109,22,24,87,20,131,0.183206106870229,0.6641221374045801,0.15267175572519084,7400.0,1986.0,2446.0
2016-05-14_03,20936,28219,3,90,1,94,20,38,63,13,114,0.3333333333333333,0.5526315789473685,0.11403508771929824,7428.0,1988.0,2448.0
2016-05-14_04,20994,28330,9,134,1,144,47,55,102,34,191,0.2879581151832461,0.5340314136125655,0.17801047120418848,7475.0,1991.0,2454.0
2016-05-14_05,21093,28530,22,223,9,254,129,103,208,72,383,0.2689295039164491,0.5430809399477807,0.18798955613577023,7543.0,1999.0,2463.0
2016-05-14_06,21372,29077,43,590,24,657,191,227,452,169,848,0.267688679245283,0.5330188679245284,0.19929245283018868,7712.0,2033.0,2530.0
2016-05-14_07,21783,29937,93,951,28,1072,302,388,762,224,1374,0.2823871906841339,0.5545851528384279,0.16302765647743814,8019.0,2071.0,2585.0
2016-05-14_08,22253,30832,113,921,52,1086,321,418,741,248,1407,0.2970859985785359,0.5266524520255863,0.17626154939587776,8277.0,2126.0,2654.0
2016-05-14_09,22753,31869,133,1146,82,1361,352,507,959,247,1713,0.29597197898423816,0.5598365440747227,0.14419147694103912,8654.0,2185.0,2767.0
2016-05-14_10,23200,32814,111,992,60,1163,325,499,687,302,1488,0.3353494623655914,0.46169354838709675,0.20295698924731181,8932.0,2272.0,2848.0
2016-05-14_11,23682,33719,117,1001,46,1164,311,430,820,225,1475,0.29152542372881357,0.5559322033898305,0.15254237288135594,9253.0,2321.0,2897.0
2016-05-14_12,24086,34634,133,926,59,1118,266,439,673,272,1384,0.3171965317919075,0.48627167630057805,0.19653179190751446,9480.0,2340.0,3030.0
2016-05-14_13,24451,35374,110,740,46,896,231,333,566,228,1127,0.29547471162378,0.5022182786157942,0.2023070097604259,9660.0,2385.0,3087.0
2016-05-14_14,24759,36009,94,693,43,830,212,318,550,174,1042,0.30518234165067176,0.527831094049904,0.16698656429942418,9855.0,2423.0,3146.0
2016-05-14_15,25067,36808,106,864,39,1009,258,418,664,185,1267,0.32991318074191,0.5240726124704025,0.14601420678768745,10095.0,2456.0,3222.0
2016-05-14_16,25403,37620,98,882,33,1013,257,378,692,200,1270,0.29763779527559053,0.5448818897637795,0.15748031496062992,10334.0,2498.0,3299.0
2016-05-14_17,25863,38504,106,961,40,1107,241,495,565,288,1348,0.3672106824925816,0.41913946587537093,0.21364985163204747,10504.0,2645.0,3375.0
2016-05-14_18,26288,39293,119,848,37,1004,240,471,560,213,1244,0.37861736334405144,0.45016077170418006,0.1712218649517685,10704.0,2758.0,3443.0
2016-05-14_19,27255,40249,150,938,47,1135,676,590,1002,219,1811,0.32578685808945335,0.5532854776366648,0.12092766427388184,10887.0,2853.0,3512.0
2016-05-14_20,28704,41521,231,1138,59,1428,813,796,1015,430,2241,0.35519857206604194,0.45292280232039267,0.19187862561356536,11047.0,2913.0,3567.0
2016-05-14_21,29823,42640,211,1010,78,1299,698,734,1016,247,1997,0.3675513269904857,0.5087631447170756,0.12368552829243866,11283.0,3008.0,3616.0
2016-05-14_22,31554,43914,240,1154,34,1428,1306,744,1723,267,2734,0.2721287490855889,0.6302121433796635,0.09765910753474762,11445.0,3072.0,3678.0
2016-05-14_23,31880,44416,91,496,19,606,165,216,454,101,771,0.2801556420233463,0.5888456549935149,0.1309987029831388,11576.0,3087.0,3694.0
2016-05-15_00,31992,44630,37,232,8,277,68,104,202,39,345,0.30144927536231886,0.5855072463768116,0.11304347826086956,11640.0,3091.0,3701.0
2016-05-15_01,32041,44723,12,111,3,126,32,44,96,18,158,0.27848101265822783,0.6075949367088608,0.11392405063291139,11675.0,3094.0,3709.0
2016-05-15_02,32072,44788,4,71,2,77,11,23,50,15,88,0.26136363636363635,0.5681818181818182,0.17045454545454544,11694.0,3101.0,3715.0
2016-05-15_03,32103,44837,6,56,3,65,24,32,44,13,89,0.3595505617977528,0.4943820224719101,0.14606741573033707,11705.0,3105.0,3717.0
2016-05-15_04,32140,44894,6,62,1,69,43,29,55,28,112,0.25892857142857145,0.49107142857142855,0.25,11730.0,3105.0,3719.0
2016-05-15_05,32216,45031,17,168,4,189,69,66,153,39,258,0.2558139534883721,0.5930232558139535,0.1511627906976744,11785.0,3111.0,3722.0
2016-05-15_06,32423,45349,34,344,22,400,180,150,292,138,580,0.25862068965517243,0.503448275862069,0.23793103448275862,11882.0,3184.0,3742.0
2016-05-15_07,32889,46150,94,840,45,979,353,411,652,269,1332,0.30855855855855857,0.4894894894894895,0.20195195195195195,12035.0,3345.0,3767.0
2016-05-15_08,33620,47498,163,1410,67,1640,604,742,926,576,2244,0.3306595365418895,0.4126559714795009,0.25668449197860965,12290.0,3579.0,3880.0
2016-05-15_09,34301,48814,180,1374,79,1633,486,705,829,585,2119,0.33270410571024067,0.39122227465785747,0.27607361963190186,12611.0,3866.0,3953.0
2016-05-15_10,34970,49991,153,1222,63,1438,556,725,695,574,1994,0.36359077231695086,0.3485456369107322,0.28786359077231694,12827.0,3988.0,4042.0
